Running inference with number of nodes: 8, free nodes: 6
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 2      | 0        | 4        | 5600     | 1.0000 | 1     | -279.09  
Computing | 2      | 0        | 4        | 5600     | 1.0000 | 1     | -279.09  
Sampling  | 2      | 0        | 4        | 5700     | 1.0000 | 1     | -279.12  
Computing | 2      | 0        | 4        | 5700     | 1.0000 | 1     | -279.12  
Sampling  | 2      | 0        | 4        | 5800     | 1.0000 | 1     | -279.15  
Computing | 2      | 0        | 4        | 5800     | 1.0000 | 1     | -279.15  
Sampling  | 2      | 0        | 4        | 5900     | 1.0000 | 1     | -279.18  
Computing | 2      | 0        | 4        | 5900     | 1.0000 | 1     | -279.18  
Sampling  | 2      | 0        | 4        | 6000     | 1.0000 | 1     | -279.21  
Computing | 2      | 0        | 4        | 6000     | 1.0000 | 1     | -279.21  
Sampling  | 2      | 0        | 4        | 6100     | 1.0000 | 1     | -279.24  
Computing | 2      | 0        | 4        | 6100     | 1.0000 | 1     | -279.24  
Sampling  | 2      | 0        | 4        | 6200     | 1.0000 | 1     | -279.27  
Computing | 2      | 0        | 4        | 6200     | 1.0000 | 1     | -279.27  
Sampling  | 2      | 0        | 4        | 6300     | 1.0000 | 1     | -279.30  
Computing | 2      | 0        | 4        | 6300     | 1.0000 | 1     | -279.30  
Sampling  | 2      | 0        | 4        | 6400     | 1.0000 | 1     | -279.32  
Computing | 2      | 0        | 4        | 6400     | 1.0000 | 1     | -279.32  
Sampling  | 2      | 0        | 4        | 6500     | 1.0000 | 1     | -279.35  
Computing | 2      | 0        | 4        | 6500     | 1.0000 | 1     | -279.35  
Bounding  | 2      | 0        | 4        | 6600     | 1.0000 | 1     | -279.37  
Sampling  | 3      | 0        | 4        | 6600     | 1.0000 | 1     | -61297.41
Computing | 3      | 0        | 4        | 6600     | 1.0000 | 1     | -61297.41
Sampling  | 3      | 0        | 4        | 6700     | 1.0000 | 1     | -323.24  
Computing | 3      | 0        | 4        | 6700     | 1.0000 | 1     | -323.24  
Sampling  | 3      | 0        | 4        | 6800     | 1.0000 | 1     | -279.39  
Computing | 3      | 0        | 4        | 6800     | 1.0000 | 1     | -279.39  
Sampling  | 3      | 0        | 4        | 6900     | 1.0000 | 1     | -279.43  
Computing | 3      | 0        | 4        | 6900     | 1.0000 | 1     | -279.43  
Sampling  | 3      | 0        | 4        | 7000     | 1.0000 | 1     | -279.48  
Computing | 3      | 0        | 4        | 7000     | 1.0000 | 1     | -279.48  
Sampling  | 3      | 0        | 4        | 7100     | 1.0000 | 1     | -279.51  
Computing | 3      | 0        | 4        | 7100     | 1.0000 | 1     | -279.51  
Sampling  | 3      | 0        | 4        | 7200     | 1.0000 | 1     | -279.55  
Computing | 3      | 0        | 4        | 7200     | 1.0000 | 1     | -279.55  
Sampling  | 3      | 0        | 4        | 7300     | 1.0000 | 1     | -279.59  
Computing | 3      | 0        | 4        | 7300     | 1.0000 | 1     | -279.59  
Sampling  | 3      | 0        | 4        | 7400     | 1.0000 | 1     | -196.32  
Computing | 3      | 0        | 4        | 7400     | 1.0000 | 1     | -196.32  
Sampling  | 3      | 0        | 4        | 7500     | 1.0000 | 1     | -196.36  
Computing | 3      | 0        | 4        | 7500     | 1.0000 | 1     | -196.36  
Sampling  | 3      | 0        | 4        | 7600     | 1.0000 | 1     | -196.39  
Computing | 3      | 0        | 4        | 7600     | 1.0000 | 1     | -196.39  
Sampling  | 3      | 0        | 4        | 7700     | 1.0000 | 1     | -196.42  
Computing | 3      | 0        | 4        | 7700     | 1.0000 | 1     | -196.42  
Sampling  | 3      | 0        | 4        | 7800     | 1.0000 | 1     | -196.45  
Computing | 3      | 0        | 4        | 7800     | 1.0000 | 1     | -196.45  
Sampling  | 3      | 0        | 4        | 7900     | 1.0000 | 1     | -196.48  
Computing | 3      | 0        | 4        | 7900     | 1.0000 | 1     | -196.48  
Sampling  | 3      | 0        | 4        | 8000     | 1.0000 | 1     | -196.51  
Computing | 3      | 0        | 4        | 8000     | 1.0000 | 1     | -196.51  
Sampling  | 3      | 0        | 4        | 8100     | 1.0000 | 1     | -196.54  
Computing | 3      | 0        | 4        | 8100     | 1.0000 | 1     | -196.54  
Sampling  | 3      | 0        | 4        | 8200     | 1.0000 | 1     | -196.57  
Computing | 3      | 0        | 4        | 8200     | 1.0000 | 1     | -196.57  
Sampling  | 3      | 0        | 4        | 8300     | 1.0000 | 1     | -196.59  
Computing | 3      | 0        | 4        | 8300     | 1.0000 | 1     | -196.59  
