14:40:50 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=./ultranest_5, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:40:50 [ultranest] [INFO] Sampling 400 live points from prior ...
14:41:28 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
14:41:28 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:41:28 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:41:28 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-284169.56, Lmax=-237.34
14:41:28 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-284175.55, remainder_fraction=100.0000%, Lmin=-272502.95, Lmax=-237.34
14:41:29 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-139341.13, remainder_fraction=100.0000%, Lmin=-138295.73, Lmax=-237.34
14:41:29 [ultranest] [DEBUG] iteration=4, ncalls=406, regioncalls=240, ndraw=40, logz=-138301.73, remainder_fraction=100.0000%, Lmin=-121724.46, Lmax=-237.34
14:41:29 [ultranest] [DEBUG] iteration=5, ncalls=407, regioncalls=280, ndraw=40, logz=-121730.46, remainder_fraction=100.0000%, Lmin=-101603.43, Lmax=-237.34
14:41:29 [ultranest] [DEBUG] iteration=7, ncalls=409, regioncalls=360, ndraw=40, logz=-74191.30, remainder_fraction=100.0000%, Lmin=-59634.93, Lmax=-237.34
14:41:29 [ultranest] [DEBUG] iteration=9, ncalls=411, regioncalls=440, ndraw=40, logz=-29705.54, remainder_fraction=100.0000%, Lmin=-28240.66, Lmax=-237.34
14:41:29 [ultranest] [DEBUG] iteration=11, ncalls=413, regioncalls=520, ndraw=40, logz=-28022.91, remainder_fraction=100.0000%, Lmin=-26166.06, Lmax=-237.34
14:41:30 [ultranest] [DEBUG] iteration=13, ncalls=415, regioncalls=600, ndraw=40, logz=-21621.20, remainder_fraction=100.0000%, Lmin=-15765.12, Lmax=-237.34
14:41:30 [ultranest] [DEBUG] iteration=15, ncalls=417, regioncalls=680, ndraw=40, logz=-13014.11, remainder_fraction=100.0000%, Lmin=-11850.53, Lmax=-237.34
14:41:30 [ultranest] [DEBUG] iteration=17, ncalls=419, regioncalls=760, ndraw=40, logz=-11140.80, remainder_fraction=100.0000%, Lmin=-11111.00, Lmax=-237.34
14:41:30 [ultranest] [DEBUG] iteration=19, ncalls=421, regioncalls=840, ndraw=40, logz=-10483.38, remainder_fraction=100.0000%, Lmin=-9116.58, Lmax=-237.34
14:41:30 [ultranest] [DEBUG] iteration=21, ncalls=423, regioncalls=920, ndraw=40, logz=-8975.52, remainder_fraction=100.0000%, Lmin=-7981.55, Lmax=-237.34
14:41:31 [ultranest] [DEBUG] iteration=23, ncalls=425, regioncalls=1000, ndraw=40, logz=-7877.94, remainder_fraction=100.0000%, Lmin=-7699.54, Lmax=-237.34
14:41:31 [ultranest] [DEBUG] iteration=25, ncalls=427, regioncalls=1080, ndraw=40, logz=-7208.99, remainder_fraction=100.0000%, Lmin=-7169.10, Lmax=-237.34
14:41:31 [ultranest] [DEBUG] iteration=27, ncalls=429, regioncalls=1160, ndraw=40, logz=-7112.79, remainder_fraction=100.0000%, Lmin=-7080.45, Lmax=-237.34
14:41:31 [ultranest] [DEBUG] iteration=29, ncalls=432, regioncalls=1280, ndraw=40, logz=-7058.92, remainder_fraction=100.0000%, Lmin=-7021.80, Lmax=-237.34
14:41:31 [ultranest] [DEBUG] iteration=30, ncalls=433, regioncalls=1320, ndraw=40, logz=-7027.86, remainder_fraction=100.0000%, Lmin=-6969.37, Lmax=-237.34
14:41:32 [ultranest] [DEBUG] iteration=32, ncalls=435, regioncalls=1400, ndraw=40, logz=-6832.67, remainder_fraction=100.0000%, Lmin=-6314.77, Lmax=-237.34
14:41:32 [ultranest] [DEBUG] iteration=33, ncalls=436, regioncalls=1440, ndraw=40, logz=-6320.84, remainder_fraction=100.0000%, Lmin=-5841.22, Lmax=-237.34
14:41:32 [ultranest] [DEBUG] iteration=34, ncalls=437, regioncalls=1480, ndraw=40, logz=-5847.30, remainder_fraction=100.0000%, Lmin=-5804.31, Lmax=-237.34
14:41:32 [ultranest] [DEBUG] iteration=35, ncalls=438, regioncalls=1520, ndraw=40, logz=-5810.39, remainder_fraction=100.0000%, Lmin=-5429.75, Lmax=-237.34
14:41:32 [ultranest] [DEBUG] iteration=36, ncalls=439, regioncalls=1560, ndraw=40, logz=-5435.83, remainder_fraction=100.0000%, Lmin=-5119.25, Lmax=-237.34
14:41:32 [ultranest] [DEBUG] iteration=37, ncalls=440, regioncalls=1600, ndraw=40, logz=-5125.33, remainder_fraction=100.0000%, Lmin=-4943.97, Lmax=-237.34
14:41:32 [ultranest] [DEBUG] iteration=38, ncalls=441, regioncalls=1640, ndraw=40, logz=-4950.05, remainder_fraction=100.0000%, Lmin=-4874.50, Lmax=-237.34
14:41:32 [ultranest] [DEBUG] iteration=40, ncalls=444, regioncalls=1760, ndraw=40, logz=-4867.16, remainder_fraction=100.0000%, Lmin=-4853.72, Lmax=-237.34
14:41:33 [ultranest] [DEBUG] iteration=42, ncalls=446, regioncalls=1840, ndraw=40, logz=-4627.01, remainder_fraction=100.0000%, Lmin=-4294.40, Lmax=-237.34
14:41:33 [ultranest] [DEBUG] iteration=44, ncalls=448, regioncalls=1920, ndraw=40, logz=-4211.58, remainder_fraction=100.0000%, Lmin=-4115.92, Lmax=-237.34
14:41:33 [ultranest] [DEBUG] iteration=46, ncalls=451, regioncalls=2040, ndraw=40, logz=-4074.90, remainder_fraction=100.0000%, Lmin=-3734.76, Lmax=-237.34
14:41:33 [ultranest] [DEBUG] iteration=47, ncalls=452, regioncalls=2080, ndraw=40, logz=-3740.87, remainder_fraction=100.0000%, Lmin=-3665.67, Lmax=-237.34
14:41:33 [ultranest] [DEBUG] iteration=49, ncalls=454, regioncalls=2160, ndraw=40, logz=-3668.46, remainder_fraction=100.0000%, Lmin=-3570.68, Lmax=-237.34
14:41:34 [ultranest] [DEBUG] iteration=50, ncalls=456, regioncalls=2240, ndraw=40, logz=-3576.79, remainder_fraction=100.0000%, Lmin=-3557.95, Lmax=-237.34
14:41:34 [ultranest] [DEBUG] iteration=52, ncalls=458, regioncalls=2320, ndraw=40, logz=-3306.43, remainder_fraction=100.0000%, Lmin=-3225.58, Lmax=-237.34
14:41:34 [ultranest] [DEBUG] iteration=53, ncalls=459, regioncalls=2360, ndraw=40, logz=-3231.70, remainder_fraction=100.0000%, Lmin=-3190.18, Lmax=-237.34
14:41:34 [ultranest] [DEBUG] iteration=54, ncalls=460, regioncalls=2400, ndraw=40, logz=-3196.31, remainder_fraction=100.0000%, Lmin=-3046.96, Lmax=-237.34
14:41:34 [ultranest] [DEBUG] iteration=55, ncalls=461, regioncalls=2440, ndraw=40, logz=-3053.08, remainder_fraction=100.0000%, Lmin=-3032.96, Lmax=-237.34
14:41:34 [ultranest] [DEBUG] iteration=57, ncalls=463, regioncalls=2520, ndraw=40, logz=-2940.68, remainder_fraction=100.0000%, Lmin=-2875.55, Lmax=-237.34
14:41:35 [ultranest] [DEBUG] iteration=59, ncalls=465, regioncalls=2600, ndraw=40, logz=-2781.99, remainder_fraction=100.0000%, Lmin=-2739.17, Lmax=-237.34
14:41:35 [ultranest] [DEBUG] iteration=60, ncalls=467, regioncalls=2680, ndraw=40, logz=-2745.31, remainder_fraction=100.0000%, Lmin=-2699.56, Lmax=-237.34
14:41:35 [ultranest] [DEBUG] iteration=62, ncalls=469, regioncalls=2760, ndraw=40, logz=-2665.72, remainder_fraction=100.0000%, Lmin=-2593.40, Lmax=-237.34
14:41:35 [ultranest] [DEBUG] iteration=64, ncalls=472, regioncalls=2880, ndraw=40, logz=-2536.31, remainder_fraction=100.0000%, Lmin=-2440.79, Lmax=-237.34
14:41:35 [ultranest] [DEBUG] iteration=65, ncalls=474, regioncalls=2960, ndraw=40, logz=-2446.94, remainder_fraction=100.0000%, Lmin=-2435.75, Lmax=-237.34
14:41:36 [ultranest] [DEBUG] iteration=67, ncalls=476, regioncalls=3040, ndraw=40, logz=-2398.40, remainder_fraction=100.0000%, Lmin=-2380.81, Lmax=-237.34
14:41:36 [ultranest] [DEBUG] iteration=69, ncalls=479, regioncalls=3160, ndraw=40, logz=-2362.64, remainder_fraction=100.0000%, Lmin=-2309.37, Lmax=-237.34
14:41:36 [ultranest] [DEBUG] iteration=70, ncalls=481, regioncalls=3240, ndraw=40, logz=-2315.53, remainder_fraction=100.0000%, Lmin=-2308.83, Lmax=-237.34
14:41:36 [ultranest] [DEBUG] iteration=71, ncalls=482, regioncalls=3280, ndraw=40, logz=-2314.54, remainder_fraction=100.0000%, Lmin=-2287.31, Lmax=-237.34
14:41:37 [ultranest] [DEBUG] iteration=73, ncalls=485, regioncalls=3400, ndraw=40, logz=-2286.44, remainder_fraction=100.0000%, Lmin=-2252.19, Lmax=-237.34
14:41:37 [ultranest] [DEBUG] iteration=75, ncalls=487, regioncalls=3480, ndraw=40, logz=-2243.40, remainder_fraction=100.0000%, Lmin=-2235.78, Lmax=-237.34
14:41:37 [ultranest] [DEBUG] iteration=76, ncalls=488, regioncalls=3520, ndraw=40, logz=-2241.75, remainder_fraction=100.0000%, Lmin=-2229.06, Lmax=-237.34
14:41:37 [ultranest] [DEBUG] iteration=77, ncalls=491, regioncalls=3640, ndraw=40, logz=-2235.24, remainder_fraction=100.0000%, Lmin=-2224.41, Lmax=-237.34
14:41:37 [ultranest] [DEBUG] iteration=78, ncalls=493, regioncalls=3720, ndraw=40, logz=-2230.58, remainder_fraction=100.0000%, Lmin=-2207.32, Lmax=-237.34
14:41:37 [ultranest] [DEBUG] iteration=79, ncalls=494, regioncalls=3760, ndraw=40, logz=-2213.51, remainder_fraction=100.0000%, Lmin=-2199.09, Lmax=-237.34
14:41:38 [ultranest] [DEBUG] iteration=80, ncalls=495, regioncalls=3800, ndraw=40, logz=-2205.28, remainder_fraction=100.0000%, Lmin=-2193.89, Lmax=-237.34
14:41:38 [ultranest] [DEBUG] iteration=81, ncalls=496, regioncalls=3840, ndraw=40, logz=-2200.07, remainder_fraction=100.0000%, Lmin=-2189.63, Lmax=-237.34
14:41:38 [ultranest] [DEBUG] iteration=82, ncalls=497, regioncalls=3880, ndraw=40, logz=-2195.81, remainder_fraction=100.0000%, Lmin=-2186.91, Lmax=-237.34
14:41:38 [ultranest] [DEBUG] iteration=83, ncalls=499, regioncalls=3960, ndraw=40, logz=-2193.05, remainder_fraction=100.0000%, Lmin=-2163.02, Lmax=-237.34
14:41:38 [ultranest] [DEBUG] iteration=84, ncalls=500, regioncalls=4000, ndraw=40, logz=-2169.22, remainder_fraction=100.0000%, Lmin=-2161.46, Lmax=-237.34
14:41:38 [ultranest] [DEBUG] iteration=86, ncalls=502, regioncalls=4080, ndraw=40, logz=-2154.52, remainder_fraction=100.0000%, Lmin=-2140.75, Lmax=-237.34
14:41:39 [ultranest] [DEBUG] iteration=87, ncalls=503, regioncalls=4120, ndraw=40, logz=-2146.95, remainder_fraction=100.0000%, Lmin=-2134.52, Lmax=-237.34
14:41:39 [ultranest] [DEBUG] iteration=89, ncalls=505, regioncalls=4200, ndraw=40, logz=-2139.28, remainder_fraction=100.0000%, Lmin=-2115.35, Lmax=-237.34
14:41:39 [ultranest] [DEBUG] iteration=90, ncalls=506, regioncalls=4240, ndraw=40, logz=-2121.56, remainder_fraction=100.0000%, Lmin=-2104.44, Lmax=-237.34
14:41:39 [ultranest] [DEBUG] iteration=92, ncalls=508, regioncalls=4320, ndraw=40, logz=-2107.55, remainder_fraction=100.0000%, Lmin=-2098.93, Lmax=-237.34
14:41:39 [ultranest] [DEBUG] iteration=93, ncalls=509, regioncalls=4360, ndraw=40, logz=-2105.06, remainder_fraction=100.0000%, Lmin=-2090.20, Lmax=-237.34
14:41:39 [ultranest] [DEBUG] iteration=95, ncalls=511, regioncalls=4440, ndraw=40, logz=-2092.82, remainder_fraction=100.0000%, Lmin=-2085.34, Lmax=-237.34
14:41:39 [ultranest] [DEBUG] iteration=96, ncalls=512, regioncalls=4480, ndraw=40, logz=-2091.32, remainder_fraction=100.0000%, Lmin=-2079.06, Lmax=-237.34
14:41:40 [ultranest] [DEBUG] iteration=98, ncalls=514, regioncalls=4560, ndraw=40, logz=-2084.03, remainder_fraction=100.0000%, Lmin=-2072.46, Lmax=-237.34
14:41:40 [ultranest] [DEBUG] iteration=100, ncalls=516, regioncalls=4640, ndraw=40, logz=-2076.56, remainder_fraction=100.0000%, Lmin=-2048.73, Lmax=-237.34
14:41:40 [ultranest] [DEBUG] iteration=102, ncalls=518, regioncalls=4720, ndraw=40, logz=-2049.21, remainder_fraction=100.0000%, Lmin=-2040.68, Lmax=-237.34
14:41:40 [ultranest] [DEBUG] iteration=103, ncalls=519, regioncalls=4760, ndraw=40, logz=-2046.83, remainder_fraction=100.0000%, Lmin=-2039.57, Lmax=-237.34
14:41:40 [ultranest] [DEBUG] iteration=105, ncalls=521, regioncalls=4840, ndraw=40, logz=-2044.52, remainder_fraction=100.0000%, Lmin=-2038.72, Lmax=-237.34
14:41:40 [ultranest] [DEBUG] iteration=106, ncalls=523, regioncalls=4920, ndraw=40, logz=-2044.03, remainder_fraction=100.0000%, Lmin=-2038.72, Lmax=-237.34
14:41:41 [ultranest] [DEBUG] iteration=108, ncalls=525, regioncalls=5000, ndraw=40, logz=-2043.46, remainder_fraction=100.0000%, Lmin=-2038.72, Lmax=-237.34
14:41:41 [ultranest] [DEBUG] iteration=109, ncalls=526, regioncalls=5040, ndraw=40, logz=-2043.26, remainder_fraction=100.0000%, Lmin=-2038.72, Lmax=-237.34
14:41:41 [ultranest] [DEBUG] iteration=110, ncalls=527, regioncalls=5080, ndraw=40, logz=-2043.10, remainder_fraction=100.0000%, Lmin=-2038.72, Lmax=-237.34
14:41:41 [ultranest] [DEBUG] iteration=111, ncalls=529, regioncalls=5160, ndraw=40, logz=-2042.95, remainder_fraction=100.0000%, Lmin=-2038.71, Lmax=-237.34
14:41:41 [ultranest] [DEBUG] iteration=112, ncalls=531, regioncalls=5240, ndraw=40, logz=-2042.83, remainder_fraction=100.0000%, Lmin=-2038.71, Lmax=-237.34
14:41:41 [ultranest] [DEBUG] iteration=114, ncalls=533, regioncalls=5320, ndraw=40, logz=-2042.62, remainder_fraction=100.0000%, Lmin=-2038.70, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=116, ncalls=535, regioncalls=5400, ndraw=40, logz=-2042.45, remainder_fraction=100.0000%, Lmin=-2038.69, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=118, ncalls=537, regioncalls=5480, ndraw=40, logz=-2042.30, remainder_fraction=100.0000%, Lmin=-2038.69, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=119, ncalls=540, regioncalls=5600, ndraw=40, logz=-2042.23, remainder_fraction=100.0000%, Lmin=-2038.67, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=120, ncalls=541, regioncalls=5640, ndraw=40, logz=-2042.17, remainder_fraction=100.0000%, Lmin=-2038.66, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=121, ncalls=542, regioncalls=5680, ndraw=40, logz=-2042.11, remainder_fraction=100.0000%, Lmin=-2038.66, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=123, ncalls=544, regioncalls=5760, ndraw=40, logz=-2042.00, remainder_fraction=100.0000%, Lmin=-2038.63, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=125, ncalls=547, regioncalls=5880, ndraw=40, logz=-2041.90, remainder_fraction=100.0000%, Lmin=-2038.61, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=127, ncalls=549, regioncalls=5960, ndraw=40, logz=-2041.81, remainder_fraction=100.0000%, Lmin=-2038.61, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=129, ncalls=551, regioncalls=6040, ndraw=40, logz=-2041.72, remainder_fraction=100.0000%, Lmin=-2038.60, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=131, ncalls=553, regioncalls=6120, ndraw=40, logz=-2041.64, remainder_fraction=100.0000%, Lmin=-2038.58, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=133, ncalls=555, regioncalls=6200, ndraw=40, logz=-2041.57, remainder_fraction=100.0000%, Lmin=-2038.56, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=134, ncalls=557, regioncalls=6280, ndraw=40, logz=-2041.53, remainder_fraction=100.0000%, Lmin=-2038.55, Lmax=-237.34
